header,eligibility,award,days_left1,days_left2,time_left,img,link_to_scholarship
L&T Build India Scholarship 2022,Final year B.E./B.Tech. in Civil/Electrical Engineering students,"INR 13,400 per month and other benefits",,,3/13/2022,https://s3-ap-southeast-1.amazonaws.com/cdn.buddy4study.com/static/scholarship_logo/logo_17281_1575618175.png,https://www.buddy4study.com/scholarship/l-t-build-india-scholarship-2022
The Gandhi Fellowship 2022,Graduates or Postgraduates students,Variable awards,,,3/13/2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22091_1645014298.png,https://www.buddy4study.com/scholarship/the-gandhi-fellowship-2022
NITK Surathkal Department of Electronics and Communication Engineering (ECE) Junior Research Fellowship 2022,B.Tech./B.E./M.Tech./M.E./M.S.(R) or equivalent degree holders,"Up to INR 35,000 per month plus HRA",,,3/13/2022,,https://www.buddy4study.com/scholarship/nitk-surathkal-department-of-electronics-and-communication-engineering-ece-junior-research-fellowship-2022
DRDO Scholarship Scheme for Girls 2022,Girl/Women students studying in first year UG and PG courses,"Up to INR 1,86,000 per annum",,,3/13/2022,,https://www.buddy4study.com/scholarship/drdo-scholarship-scheme-for-girls-2022
IIT BHU Varanasi Department of Computer Science and Engineering Junior Research Fellowship (JRF) 2022,Bachelor's/Master's degree holders,"INR 31,000 per month plus HRA",,,3/13/2022,,https://www.buddy4study.com/scholarship/iit-bhu-varanasi-department-of-computer-science-and-engineering-junior-research-fellowship-jrf-2022
IITM Summer Fellowship Programme 2022,"Engineering, Management, Sciences and Humanities students","INR 6,000 per month",,,3/13/2022,,https://www.buddy4study.com/scholarship/iitm-summer-fellowship-programme-2022
SERB Core Research Grant (Individual Centric) 2022,Emerging and eminent scientists/researchers,Core research support and other benefits,,,3/13/2022,,https://www.buddy4study.com/scholarship/serb-core-research-grant-individual-centric-2022
Shoolini University Admission Scholarship 2022-23,UG and PG degree applicants,Up to 100% tuition fee waiver,,,3/13/2022,,https://www.buddy4study.com/scholarship/shoolini-university-admission-scholarship-2022-23
INAE Young Entrepreneur Award 2022,Young engineers below 45 years of age,Cash prize of INR 2 lakh and a citation,,,3/13/2022,,https://www.buddy4study.com/scholarship/inae-young-entrepreneur-award-2022
UPES University Admission Scholarship 2022-23,Undergraduate and Postgraduate applicants,Up to 100% tuition fee waiver,,,3/13/2022,,https://www.buddy4study.com/scholarship/upes-university-admission-scholarship-2022-23
Inlaks Fellowship for Social Engagement 2022,Graduate students and Early to mid-career professionals,"Up to INR 45,000 per month",,,3/13/2022,,https://www.buddy4study.com/scholarship/inlaks-fellowship-for-social-engagement-2022
The Cadence Scholarship Program 2022-23,Undergraduate and postgraduate applicants,Financial support for educational expenses,,,3/13/2022,,https://www.buddy4study.com/page/the-cadence-scholarship-program
Abdul Kalam Technology Innovation National Fellowship 2022-23,Indian nationals working in engineering profession in public funded institutions,"INR 25,000 per month and other benefits",,,3/13/2022,,https://www.buddy4study.com/scholarship/abdul-kalam-technology-innovation-national-fellowship-2022-23
Sanganeria Foundation Merit Cum Means Scholarship 2022-23,Undergraduate or postgraduate students,Full annual fee and other expenses,,,3/13/2022,,https://www.buddy4study.com/scholarship/sanganeria-foundation-merit-cum-means-scholarship-2022-23
